latitude,longitude,depth,mag,net
-20.003,-70.8741,17,6.2,us
-19.9246,-70.6278,20,6.7,us
-5.566,-80.879,9.8,6.3,us
-14.0935,-76.2968,20,6.1,us
33.6793,131.8197,79,6.3,us
-3.1128,148.4774,10,6.1,us
-60.8391,-19.9569,10,6.4,us
40.8287,-125.1338,16.6,6.8,nc
-14.7347,169.8222,636.76,6.3,us
27.4052,127.3354,111.18,6.5,us
12.5555,-87.6902,60,6.2,us
53.6792,-171.8369,264.66,6.1,us
14.6511,-58.9478,16.86,6.5,us
35.906,82.5865,10,6.9,us
-5.9651,154.435,41.8,6,us
-15.0691,167.3721,122,6.5,us
38.2637,20.3897,5,6,us
-32.9076,-177.8806,44.26,6.5,us
-56.8269,-27.3253,131.14,6.1,us
38.2039,20.4504,8,6.1,us
-7.9855,109.2653,66,6.1,us
-15.1477,-174.6841,6.59,6.1,us
-40.6595,175.8144,28,6.1,us
19.0428,-66.8096,20,6.4,us
-13.8633,167.249,187,6.5,us
20.7727,146.7903,9,6.2,us
44.4438,149.1667,28,6,us
2.044,96.8261,20,6,us
-7.0269,128.3791,9.87,6.4,us
-53.8708,-53.9107,14.83,6,us
-53.9451,-55.0033,11.78,7,us
45.5613,151.0047,34,6,us
-17.1171,-176.5449,371,6.5,us
18.4753,145.2041,511,6,us
2.6403,128.4339,38,6,us
-60.2738,-46.4011,10,7.7,us
-60.2627,-47.0621,9.97,6.9,us
-60.2814,-47.1233,11.07,6.1,us
54.6859,162.3024,43,6.4,us
-19.1711,-172.6411,10.05,6.2,us
-23.6357,-112.5956,9.98,6,us
-30.2921,-71.5215,27,6.6,us
23.5904,121.4366,10,6.3,us
-35.314,-73.395,41.5,6.2,us
37.1557,144.6611,35,7.1,us
-58.153,-12.7964,22.87,6.7,us
-23.0067,-177.1425,160,6,us
26.0913,-110.3209,9.45,6.6,us
-6.4456,154.931,35,6.8,us
9.8796,124.1167,19.04,7.1,us
35.5142,23.2523,40,6.6,us
10.9048,-62.315,63,6,us
-30.6623,-178.4838,151,6.2,us
-36.7267,-97.4761,10.28,6.2,us
12.3115,141.6905,104,6,us
-38.6062,78.3693,12.72,6.4,us
53.1995,152.7864,573,6.7,us
